fips,totalvotes,mode,dem,repub,other,pop_tot,pop_male,pop_female,hispanic,labor_total,labor_armed,labor_employed,labor_unemployed,income_median,income_percapita,income_poverty,native_yes,native_no,houses_tot,income_10,income_10-15,income_15-25,income_25,marital_single,marital_married,marital_sepdiv,marital_widow,edu_low,edu_mid,edu_high,edu_low_age_18,edu_low_age_45,edu_low_age_65,edu_mid_age_18,edu_mid_age_45,edu_mid_age_65,edu_high_age_18,edu_high_age_45,edu_high_age_65,race_wht_total,race_wht_male,race_wht_female,race_blk_total,race_blk_male,race_blk_female,race_other_total,race_other_male,race_other_female,CENSUSAREA,pop_density,year
1113,18915,TOTAL,10085,8705,125,51663,24660,27003,1734,24141.0,779.0,20656.0,2706.0,32481.0,17415.0,11856.0,50877.0,786.0,20174,2543.0,1688.0,3649.0,12294.0,12368,16932,8063,3417,9024,25204,4090,3725,2645,2654,12646,9179,3379,2040,1463,587,28082,13804,14278,21484,9839,11645,2097,1017,1080,641.14,80.57990454502917,2008
1115,34088,TOTAL,6091,27649,348,80658,40348,40310,1586,38302.0,234.0,35338.0,2730.0,48837.0,22192.0,8283.0,79089.0,1569.0,29574,2027.0,2006.0,3261.0,22280.0,13875,36442,9604,4863,12977,40260,8116,5690,3770,3517,19508,14911,5841,4001,3227,888,72052,35752,36300,6906,3754,3152,1700,842,858,631.902,127.64321049783035,2008
1117,90643,TOTAL,20625,69060,958,187880,92040,95840,9750,101237.0,165.0,95469.0,5603.0,68380.0,33978.0,13681.0,177283.0,10597.0,71759,2692.0,2072.0,5665.0,61330.0,33981,89508,16746,7194,12825,75410,51288,6160,3149,3516,38350,26256,10804,26477,20228,4583,158707,77800,80907,19271,8892,10379,9902,5348,4554,784.93,239.35892372568256,2008
1119,7020,TOTAL,5264,1731,25,13871,6325,7546,101,6406.0,0.0,5341.0,1065.0,25338.0,14460.0,4777.0,13857.0,14.0,4952,1214.0,600.0,634.0,2504.0,5363,3474,1389,1020,2450,6926,1172,721,666,1063,3669,2420,837,482,552,138,3381,1611,1770,10197,4563,5634,293,151,142,903.887,15.345944791771538,2008
1121,34204,TOTAL,13779,20112,313,82347,40125,42222,1567,36820.0,114.0,32482.0,4224.0,36948.0,18713.0,14395.0,80821.0,1526.0,31151,3932.0,2231.0,4637.0,20351.0,17414,33166,10799,4999,15098,40837,6821,6101,4774,4223,19731,15132,5974,2922,2800,1099,54116,26509,27607,26278,12605,13673,1953,1011,942,736.775,111.76682162125479,2008
1123,19311,TOTAL,6063,13116,132,41534,20052,21482,887,19568.0,0.0,17707.0,1861.0,36904.0,22542.0,7161.0,40896.0,638.0,16282,1402.0,1493.0,2741.0,10646.0,8190,17984,4707,3052,7925,19414,4749,3397,2217,2311,7997,7696,3721,1837,1941,971,29573,14564,15009,11095,5099,5996,866,389,477,716.521,57.9662005719302,2008
1125,78912,TOTAL,32796,45405,711,188331,91206,97125,5214,91943.0,136.0,85887.0,5920.0,42311.0,22546.0,35646.0,182094.0,6237.0,69175,9096.0,4799.0,8324.0,46956.0,60540,66686,18337,8587,22082,92614,32506,10519,5887,5676,55616,26259,10739,17983,10796,3727,126696,62911,63785,56014,25531,30483,5621,2764,2857,1321.755,142.48555897272942,2008
1127,28652,TOTAL,7420,20722,510,67612,32867,34745,1237,28840.0,52.0,25437.0,3351.0,37191.0,20516.0,12407.0,66888.0,724.0,25800,2475.0,2205.0,4150.0,16970.0,11829,28783,9089,5270,12601,34839,4748,4407,3935,4259,16102,13026,5711,1940,2088,720,62143,30284,31859,4082,1886,2196,1387,697,690,791.192,85.4558691190002,2008
1129,8775,TOTAL,3067,5654,54,17556,8925,8631,132,7209.0,0.0,6467.0,742.0,36431.0,18824.0,3372.0,17470.0,86.0,6672,900.0,594.0,1215.0,3963.0,2956,8002,1665,1212,2927,8987,1102,951,907,1069,4344,3396,1247,354,532,216,11466,5725,5741,4468,2356,2112,1622,844,778,1080.207,16.252440504458868,2008
1131,6494,TOTAL,4612,1868,14,12012,5658,6354,33,3232.0,0.0,2532.0,700.0,23491.0,12573.0,4328.0,11974.0,38.0,3732,827.0,418.0,787.0,1700.0,4060,3052,1415,762,2585,5028,1010,932,925,728,2566,1716,746,322,488,200,3229,1600,1629,8763,4058,4705,20,0,20,888.498,13.519445176016152,2008
